Designation/Identification,Obstacle Type,Obstacle Position,Elevation AMSL,Height AGL,Obstacle Lighting,Revision Date,Remarks,Southern,Northern,Scotland,Sheet 1,Sheet 2,Sheet 3,Sheet 4,Sheet 5,Sheet 6,Sheet 7,Sheet 8,London Heli,Orkneys Inset,Shetland Inset
UK29308256F,"ROTATING CRANE, INDUSTRIAL
Single","522907.00N
0015506.00W",834 FT,404 FT,Unknown,1/8/2022,,Yes,,,,,,,Yes,Yes,,Yes,,,
UK29306494F,"ROTATING CRANE, INDUSTRIAL
Multi","532855.00N
0021556.00W",521 FT,410 FT,Yes,14/7/2022,crane,,Yes,,,,,,Yes,Yes,,,,,
UK29306514F,"ROTATING CRANE, INDUSTRIAL
Multi","522850.73N
0015425.02W",980 FT,525 FT,Unknown,15/7/2022,crane,Yes,,,,,,,Yes,Yes,,Yes,,,
UK28985854F,"BUILDING,GENERAL(ALL TYPES)
Single","532436.17N
0025954.96W",389 FT,379 FT,No,11/5/2022,BUILDING,,Yes,,,,,,Yes,,,,,,
UK0171A065F,"SMOKESTACK, GENERAL
Single","523346.18N
0000952.95W",355 FT,345 FT,No,29/10/2020,CA02 WHITTLESEY OS,Yes,,,,,,,,Yes,,Yes,,,
UK0171A079F,"RADIO/TV TOWER, TYPE I
Single","523806.14N
0004325.52E",552 FT,360 FT,Yes,24/1/2023,,Yes,,,,,,,,Yes,,Yes,,,
UK0171A003F,"RADIO/TV TOWER, TYPE I
Single","520015.56N
0004709.07E",785 FT,550 FT,Yes,6/8/2021,RTM SUDBURY MAST,Yes,,,,,,,,Yes,,Yes,,,
UK0171A011F,"MICROWAVE TOWER, TYPE I (HAS REFLECTOR/CONE)
Single","520402.64N
0040435.58W",1682 FT,334 FT,No,26/9/2013,"CARDIGAN BAY,DYFED L7",Yes,,,,,,,Yes,,Yes,,,,
UK0171A015F,"RADIO/TV TOWER, TYPE I
Single","520626.87N
0013440.64E",351 FT,350 FT,No,11/10/2019,SU09 ORFORDNESS,Yes,,,,,,,,Yes,,Yes,,,
UK0171A030F,"RADIO/TV TOWER, TYPE I
Single","521509.94N
0010823.68W",1021 FT,371 FT,No,17/10/2022,Stayed Mast,Yes,,,,,,,Yes,Yes,,Yes,,,
UK0171A040F,"RADIO/TV TOWER, TYPE I
Single","522138.45N
0040609.24W",1144 FT,561 FT,Yes,6/8/2021,RTM BLAENPLWYF MAST,Yes,,,,,,,Yes,,,,,,
UK0171A129F,"SMOKESTACK, GENERAL
Single","530234.06N
0015226.78W",1099 FT,348 FT,No,18/5/2021,ST09 CAULDON,Yes,Yes,,,,,,Yes,Yes,,,,,
UK0171A146F,"RADIO/TV TOWER, TYPE I
Single","531315.84N
0031852.00W",1893 FT,784 FT,Yes,6/8/2021,RTM MOEL-Y-PARC MAST,Yes,Yes,,,,,,Yes,,,,,,
UK0171A163F,"SMOKESTACK, GENERAL
Single","531759.95N
0043618.63W",426 FT,403 FT,No,2/3/2023,,Yes,Yes,,,,,,Yes,,,,,,
