Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Obstacle,,UK29308256F,52.48528,-1.91833,834,-0.21007,UK,"ROTATING CRANE, INDUSTRIAL,Single
Height AGL: 404 ft",,250,2022-08-01T00:00:00,C:/Users/scott/Downloads/Flight Simulator/Little Navmap Extra/Userpoints/NATS Obstacles.csv
Obstacle,,UK29306514F,52.48076,-1.90695,980,-0.20825,UK,"ROTATING CRANE, INDUSTRIAL,Multi
Remarks: crane
Height AGL: 525 ft",,250,2022-07-15T00:00:00,C:/Users/scott/Downloads/Flight Simulator/Little Navmap Extra/Userpoints/NATS Obstacles.csv
Obstacle,,UK0171A065F,52.56283,-0.16471,355,0.15103,UK,"SMOKESTACK, GENERAL,Single
Remarks: CA02 WHITTLESEY OS
Lighting: No
Height AGL: 345 ft",,250,2020-10-29T00:00:00,C:/Users/scott/Downloads/Flight Simulator/Little Navmap Extra/Userpoints/NATS Obstacles.csv
Obstacle,,UK0171A079F,52.63504,0.72376,552,0.49917,UK,"RADIO/TV TOWER, TYPE I,Single
Lighting: Yes
Height AGL: 360 ft",,250,2023-01-24T00:00:00,C:/Users/scott/Downloads/Flight Simulator/Little Navmap Extra/Userpoints/NATS Obstacles.csv
Obstacle,,UK0171A003F,52.00432,0.78585,785,0.43596,UK,"RADIO/TV TOWER, TYPE I,Single
Remarks: RTM SUDBURY MAST
Lighting: Yes
Height AGL: 550 ft",,250,2021-08-06T00:00:00,C:/Users/scott/Downloads/Flight Simulator/Little Navmap Extra/Userpoints/NATS Obstacles.csv
Obstacle,,UK0171A011F,52.06740,-4.07655,1682,-1.38759,UK,"MICROWAVE TOWER, TYPE I (HAS REFLECTOR/CONE),Single
Remarks: CARDIGAN BAY,DYFED L7
Lighting: No
Height AGL: 334 ft",,250,2013-09-26T00:00:00,C:/Users/scott/Downloads/Flight Simulator/Little Navmap Extra/Userpoints/NATS Obstacles.csv
Obstacle,,UK0171A015F,52.10746,1.57796,351,0.84199,UK,"RADIO/TV TOWER, TYPE I,Single
Remarks: SU09 ORFORDNESS
Lighting: No
Height AGL: 350 ft",,250,2019-10-11T00:00:00,C:/Users/scott/Downloads/Flight Simulator/Little Navmap Extra/Userpoints/NATS Obstacles.csv
Obstacle,,UK0171A030F,52.25276,-1.13991,1021,-0.24394,UK,"RADIO/TV TOWER, TYPE I,Single
Remarks: Stayed Mast
Lighting: No
Height AGL: 371 ft",,250,2022-10-17T00:00:00,C:/Users/scott/Downloads/Flight Simulator/Little Navmap Extra/Userpoints/NATS Obstacles.csv
Obstacle,,UK0171A040F,52.36068,-4.10257,1144,-1.33256,UK,"RADIO/TV TOWER, TYPE I,Single
Remarks: RTM BLAENPLWYF MAST
Lighting: Yes
Height AGL: 561 ft",,250,2021-08-06T00:00:00,C:/Users/scott/Downloads/Flight Simulator/Little Navmap Extra/Userpoints/NATS Obstacles.csv
Obstacle,,UK0171W457F,52.51880,1.13867,887,0.82416,UK,"RADIO/TV TOWER, TYPE I,Single
Remarks: RTM TACOLNESTON MAST
Lighting: Yes
Height AGL: 679 ft",,250,2021-08-06T00:00:00,C:/Users/scott/Downloads/Flight Simulator/Little Navmap Extra/Userpoints/NATS Obstacles.csv
